Contrat;Date et heure;kWh;Code de consommation;Température moyenne (°C);Code de température
314004824;2022-06-07 00:00:00;0.17;R;19;R
315107746;2022-06-07 00:00:00;0.01;R;19;R
314004824;2022-06-07 01:00:00;0.15;R;19;R
315107746;2022-06-07 01:00:00;0.01;R;19;R
315107746;2022-06-07 02:00:00;0.01;R;18;R
314004824;2022-06-07 02:00:00;0.13;R;18;R
314004824;2022-06-07 03:00:00;0.09;R;18;R
315107746;2022-06-07 03:00:00;0.01;R;18;R
314004824;2022-06-07 04:00:00;0.14;R;17;R
315107746;2022-06-07 04:00:00;0.01;R;17;R
314004824;2022-06-07 05:00:00;0.13;R;17;R
315107746;2022-06-07 05:00:00;0.01;R;17;R
314004824;2022-06-07 06:00:00;0.09;R;17;R
315107746;2022-06-07 06:00:00;0.01;R;17;R
314004824;2022-06-07 07:00:00;0.14;R;17;R
315107746;2022-06-07 07:00:00;0.66;R;17;R
315107746;2022-06-07 08:00:00;0.0;R;19;R
314004824;2022-06-07 08:00:00;0.17;R;19;R
314004824;2022-06-07 09:00:00;0.14;R;20;R
315107746;2022-06-07 09:00:00;0.01;R;20;R
314004824;2022-06-07 10:00:00;0.19;R;23;R
315107746;2022-06-07 10:00:00;0.0;R;23;R
314004824;2022-06-07 11:00:00;0.16;R;23;R
315107746;2022-06-07 11:00:00;0.0;R;23;R
315107746;2022-06-07 12:00:00;0.0;R;25;R
314004824;2022-06-07 12:00:00;0.25;R;25;R
315107746;2022-06-07 13:00:00;0.01;R;25;R
314004824;2022-06-07 13:00:00;0.21;R;25;R
314004824;2022-06-07 14:00:00;0.16;R;25;R
315107746;2022-06-07 14:00:00;0.01;R;25;R
314004824;2022-06-07 15:00:00;0.15;R;25;R
315107746;2022-06-07 15:00:00;0.03;R;25;R
315107746;2022-06-07 16:00:00;0.91;R;21;R
314004824;2022-06-07 16:00:00;0.11;R;21;R
314004824;2022-06-07 17:00:00;0.17;R;19;R
315107746;2022-06-07 17:00:00;1.07;R;19;R
314004824;2022-06-07 18:00:00;0.17;R;18;R
315107746;2022-06-07 18:00:00;0.57;R;18;R
314004824;2022-06-07 19:00:00;0.11;R;18;R
315107746;2022-06-07 19:00:00;0.83;R;18;R
314004824;2022-06-07 20:00:00;0.11;R;18;R
315107746;2022-06-07 20:00:00;0.68;R;18;R
314004824;2022-06-07 21:00:00;0.27;R;18;R
315107746;2022-06-07 21:00:00;0.03;R;18;R
